model,feature_set,n_features,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
1_XGBoost,Day2,43,0.8668756530825498,0.002677351718979922,0.7216910798453904,0.006016939761623764,0.9124974693004108,0.004794917377829925
2_LightGBM,Day2,43,0.8626436781609197,0.004098612049624896,0.719454782210952,0.007926382012784908,0.9137616556942744,0.004318222547685857
3_CatBoost,Day2,43,0.8539184952978056,0.0028348296690178707,0.711130212010042,0.00607132610528689,0.9138209992781186,0.004522231265278123
4_GradientBoosting,Day2,43,0.8881922675026124,0.004302024838085454,0.721899262505819,0.01286003887202641,0.9138228940788269,0.005366749640976731
5_HistGradientBoosting,Day2,43,0.8622779519331244,0.003556608657286816,0.7184829382309895,0.007057572951092612,0.9135631061416483,0.0040951567766597564
6_ExtraTrees,Day2,43,0.8435736677115988,0.004752431051731177,0.6860901548476883,0.0067417791129321825,0.8949432096952957,0.005209213890236969
7_AdaBoost,Day2,43,0.8269070010449321,0.006152245602112269,0.44579823504500815,0.04594237150396351,0.8567464521530936,0.006398945912143765
8_VotingEnsemble,Day2,43,0.8660397074190177,0.00430646416614313,0.7248619756968382,0.009480280487806471,0.9160042416950006,0.004439469539072965
9_StackingEnsemble,Day2,43,0.8449320794148379,0.0037552189814140944,0.7024243134097841,0.006783071787337211,0.9142631088552184,0.004806330790647673
10_BalancedRandomForest,Day2,43,0.8560083594566352,0.003710612519240265,0.7074539507492875,0.006221032490614143,0.9052313665069329,0.0033401197057641866
1_XGBoost,Day3,78,0.8699059561128527,0.00343002038916821,0.7274691660196775,0.007908524530727122,0.9132607768303826,0.005406594141455093
2_LightGBM,Day3,78,0.8649425287356323,0.00541452305455868,0.7228918077798182,0.011218159907203007,0.913138751169466,0.00549564588604476
3_CatBoost,Day3,78,0.8557993730407523,0.00570421904449581,0.7138947572233864,0.010239043190758789,0.9145118607314118,0.004179040969950881
4_GradientBoosting,Day3,78,0.8893939393939394,0.004938893332537717,0.7252778272662631,0.014157443163848702,0.9123426127651812,0.005891068298979366
5_HistGradientBoosting,Day3,78,0.8603970741901776,0.005309139379502707,0.7170138821491762,0.010217288339686038,0.913224437019102,0.005070277500070078
6_ExtraTrees,Day3,78,0.8397596656217345,0.0053424547674667455,0.6852805596863718,0.010286111470065508,0.8967973559799132,0.004258782116075634
7_AdaBoost,Day3,78,0.837460815047022,0.0053623446492456605,0.5117221068079656,0.018504846518844695,0.8717799602970745,0.004441635991199085
8_VotingEnsemble,Day3,78,0.86619644723093,0.0055425742781090356,0.7254730564519745,0.011081825391834438,0.9162553778802438,0.004932667223212684
9_StackingEnsemble,Day3,78,0.8451933124346918,0.005772244908937973,0.703435791543445,0.010626843838844425,0.9149257637394805,0.005093256797552434
10_BalancedRandomForest,Day3,78,0.8519331243469175,0.004095280656690772,0.7032183314072882,0.006548865226306702,0.9041007104869567,0.004448662959355147
